original_text,translated_text,text_hash,translation_config
YuuRi Channel @,[错误],2641a77d007d193007af68372963c7c9,GoogleTranslator|auto|zh-CN
"@ 【ASMR/6 時 間 】 BEDS ) X & 百度 一下 ， 你 就 知道
| 的 wegen ( *- ‘yon 干杯 ~-b X | 惟 DeepSeek | 深度 求索
| Y Tesseract 添 加 语言 包 指南 -De x | 十
[a
うさ う G
ss youtube.com/watch?v=f-ToxWTpVXE
& &
9 5
可 mn】
[所有 等
【ASMR]】 给 我 忍 住 9 PERE 3
O 要 被 大 姐姐 执 扼 地 捉弄 了 呢 …
YuuRi Channel @
10 RME + 直播 时 间 : 2 个 月 前
eC
三 ”加 Yunube
搜索
ug @& as
@kodai-o2z ® 7 个 月 前
hy 6 時 間 長 時 間 配信 お 疲れ 様 で し た ! 姉さん の 本 気 が 高まっ て き て 有吉 実行 で 本 当 に 凄い で す @ @ CHD SSMEAT—EMELTAUTUEET! WDSHOMES @
大 好き だ よ 几 姉さん が 最強 で 最高 に NO.1 だ よ
uo @ ws
【KU100 ! ASMR】
愛さ れ ド
ク さ れ ツ ヤン デレ RP ASMRC.…
Hasuki Ch. 蓮 希 る い @
9.1 万 次 观看 , 直播 时 间 : 4 个 月 前
Og @ 袖 マッ チョ マン © 7 个 月 前
長 時 間 の 耐久 配信 疲れ 様 で し た ! ちゃ ん と 完走 し きっ た の 本 当 に すご すぎ ます .…! 6 時 間 も ず っ と 頑張 り 続 けた の で 今日 は た くさ ん 休ん で くだ さい ね 。
今日 も 配信 し て くれ て あり が と う ご ざ いま し た 。
ら s @ @& as
Nancy (Film Diagonal Planet
Haven p.1)
Producciones Gran Torre
2 次 观看 ，13 分 钟 前
@ @koji-c2k © 7 个 月 前
最 新
最初 か ら 最後 まで 見 守れ て 良かっ た で す !
【ASMR/ 長 時 間 】 両 耳 か ら お ね 3
6 時 間 も 声 を 聞け て 幸せ で し た !
えさ ん た ち に いじ わる され ち .…
4 の し
回复
YuuRi Channel @
my OARUS . 直播 时 间 : 8 个 月 前
rs) @ ハ パウ カ ー ル 8
[ESRDASMR] OSERE
エニ
ンー
ASMR
BERIUSEWE..
ExMEREORMBODE...
4 @ @& as
桃 野 薔 薇 ASMR ch
| 44 万 次 观看 , 直播 时 间 : 2 年 前
登 @NAYA & 7 个 月 前
5 時 間 25 分 の 耐久 配信 、 本 当 に お 疲れ 様 で し た ! ! !
【ASMR】 你 比较 喜欢 哪 一 个 3
O 被 大 姐姐 们 从 两 耳 坏 坏 地 捉 …
YuuRi Channel @
61 ARIE + 直播 时 间 : 3 个 月 前
姉さん な ら 完走 で きる と 信じ て まし た ! それ で も や っ ぱり キツ か っ た で すね .…
4 時 間 あ た りか ら の 脳死 姉さん が 可愛 すぎ て 目 が 池 え わた っ て まし た 笑
ママ 責め ボイス が 長め だ っ た の は 姉さん の 気合 い を 感じ まし た が 、 数 時 間 後 に 自分 の 首 を 絞め る こと に な る と は 思っ て な か っ た ん だ ろう な っ て 考え る と また 笑っ て し まい .…
了 解 详情
【ASMR】 お ね えさ ん に いじ わ
o7 9
of
る され ちゃ う の た まん な い ツ .…
YuuRi Channel @
@Galopin-snt 7 个 月 前
S3A RWS + 直播 时 间 : 7 个 月 前
お 疲れ 様 で し た !","@ 【ASMR/6 時 間 】 BEDS ) X & 百度 一下 ， 你 就 知道
| 的 wegen ( *- ‘yon 干杯 ​​~-b X | 惟 DeepSeek | 深度 求索
| Y Tesseract 添 加 语言 包 指南 -De x | 十
[一个
美国UG
ss youtube.com/watch?v=f-ToxWTpVXE
&&
9 5
可 mn】
[所有 等
【ASMR]】 给 我 忍 住 9 PERE 3
O 要 被 大 姐姐 执 扼 地 捉弄 了 呢 …
YuuRi频道@
10 RME + 直播 时 间 : 2 个 月 前
电
三 ”加 Yunube
搜索
和 @& 作为
@kodai-o2z ® 7 个 月 前
hy 感谢你们6个小时的辛苦直播！姐姐的认真度增加了，有吉的执行力真是太棒了@@CHD SSMEAT—EMELTAUTUEET！ WDSHOME@
我非常爱你，凛姐姐是最强的，也是最棒的。
哦@ws
【KU100！ ASMR】
爱过
RP ASMRC....
莲宿 Ch.莲宿瑞@
9.1 万 次 观看 , 直播 时 间 : 4 个 月 前
Og @ Sleeve Macho Man © 7 个月前
长时间的耐力直播，我累坏了！能完成比赛真是太了不起了……！你连续辛苦工作了6个小时，希望你今天好好休息。
非常感谢您今天的广播。
ra s @ @& as
南希（电影《对角线星球》
避风港第1页）
伟大的塔制作公司
2 次 观看 ，13 分 钟 前
@ @koji-c2k © 7 个 月 前
最 新
我很高兴能够从头到尾守护你！
[ASMR/长时间] 双耳对着头 3
6个小时里我很高兴听到你的声音！
食物被篡改了...
4岁
回复
YuuRi频道@
my OARUS . 直播 时 间 : 8 个 月 前
rs) @ 下包冰壶 8
[ESRDASM​​R] 演员
埃尼
嗯嗯
ASMR
贝留斯韦..
埃米尔博德...
4 @ @& 作为
桃野蔷薇 ASMR ch
| 44 万 次 观看 , 直播 时 间 : 2 年 前
登 @NAYA & 7 个 月 前
非常感谢你们5小时25分钟的直播！
【ASMR】 你 比较 喜欢 哪 一 个 3
O 被 大 姐姐 们 从 两 耳 坏 坏 地 捉 …
[错误]
61 ARIE + 直播 时 间 : 3 个 月 前
我相信姐姐一定能跑完比赛！但还是很艰难...
4小时那个脑残妹妹可爱得我翻白眼，哈哈。
妈妈指责的声音很长，我能感觉到她的热情，但一想到几个小时后她会如何勒死我，我又忍不住笑了。 ……
了 解 详情
[ASMR] 婴儿食品
Ø7 9
的
很容易被抓到...
YuuRi频道@
@Galopin-snt 7 个 月 前
S3A RWS + 直播 时 间 : 7 个 月 前
谢谢你的辛勤工作！",8b291cc5e54a699f319e868a333b5a1b,GoogleTranslator|auto|zh-CN
@ 【ASMR/6 時 間 】 BEDS ) X & 百度 一下 ， 你 就 知道,@ 【ASMR/6 時 間 】 BEDS ) X & 百度 一下 ， 你 就 知道,ec257520b5bb07bd9a2e5aec84081a01,GoogleTranslator|auto|zh-CN
ss youtube.com/watch?v=f-ToxWTpVXE,ss youtube.com/watch?v=f-ToxWTpVXE,db46e77476c26fbb23a48c64fb6e0fcf,GoogleTranslator|auto|zh-CN
| Y Tesseract 添 加 语言 包 指南 -De x | 十,| Y Tesseract 添 加 语言 包 指南 -De x | 十,781dfff90c26bb287fca37e44e111594,GoogleTranslator|auto|zh-CN
[a,[一个,05f976e68c3731b80acec98edf173e7f,GoogleTranslator|auto|zh-CN
& &,&&,58a4d58eccfe1bc8113161365c59bdc7,GoogleTranslator|auto|zh-CN
[所有 等,[所有 等,8cdbe37ce6ad5fb1548d8028f76bc89e,GoogleTranslator|auto|zh-CN
うさ う G,美国UG,d69ebda2b84518dfccef46d4440464c0,GoogleTranslator|auto|zh-CN
O 要 被 大 姐姐 执 扼 地 捉弄 了 呢 …,O 要 被 大 姐姐 执 扼 地 捉弄 了 呢 …,a7a90f118805412581795c855fe73d7d,GoogleTranslator|auto|zh-CN
| 的 wegen ( *- ‘yon 干杯 ~-b X | 惟 DeepSeek | 深度 求索,| 的 wegen ( *- ‘yon 干杯 ​​~-b X | 惟 DeepSeek | 深度 求索,c0352d8ca8c5611e2e66e2266d5234d8,GoogleTranslator|auto|zh-CN
10 RME + 直播 时 间 : 2 个 月 前,10 RME + 直播 时 间 : 2 个 月 前,10da57ee82ed53056bfab535aee31251,GoogleTranslator|auto|zh-CN
9 5,9 5,342be42f47b4c603c33b63266728f215,GoogleTranslator|auto|zh-CN
可 mn】,可 mn】,01c5628e2a048ac3f979ba43ffe38501,GoogleTranslator|auto|zh-CN
搜索,搜索,e5f71fc31e7246dd6ccc5539570471b0,GoogleTranslator|auto|zh-CN
【ASMR]】 给 我 忍 住 9 PERE 3,【ASMR]】 给 我 忍 住 9 PERE 3,3af1b4ddf2accabcf69de7eab8d36011,GoogleTranslator|auto|zh-CN
YuuRi Channel @,YuuRi频道@,2641a77d007d193007af68372963c7c9,GoogleTranslator|auto|zh-CN
eC,电,0466dc667c3b135e90ac7cab8b325756,GoogleTranslator|auto|zh-CN
ug @& as,和 @& 作为,f4d6769cc11a4f7daf06adc92e7bfdf2,GoogleTranslator|auto|zh-CN
三 ”加 Yunube,三 ”加 Yunube,25de371b000df026ecf9dae0c1a18554,GoogleTranslator|auto|zh-CN
大 好き だ よ 几 姉さん が 最強 で 最高 に NO.1 だ よ,我非常爱你，凛姐姐是最强的，也是最棒的。,0fb758e46d41f47fd934951b18a42f0c,GoogleTranslator|auto|zh-CN
@kodai-o2z ® 7 个 月 前,@kodai-o2z ® 7 个 月 前,f3288817bd99eef5690122ec122732c0,GoogleTranslator|auto|zh-CN
【KU100 ! ASMR】,【KU100！ ASMR】,d618a89f09d539ea8bc6c74bfa654110,GoogleTranslator|auto|zh-CN
"9.1 万 次 观看 , 直播 时 间 : 4 个 月 前","9.1 万 次 观看 , 直播 时 间 : 4 个 月 前",b8ea9f7df58c8297071ca446fe8c1cee,GoogleTranslator|auto|zh-CN
hy 6 時 間 長 時 間 配信 お 疲れ 様 で し た ! 姉さん の 本 気 が 高まっ て き て 有吉 実行 で 本 当 に 凄い で す @ @ CHD SSMEAT—EMELTAUTUEET! WDSHOMES @,hy 感谢你们6个小时的辛苦直播！姐姐的认真度增加了，有吉的执行力真是太棒了@@CHD SSMEAT—EMELTAUTUEET！ WDSHOME@,1ad0871e3c11ebd6681d85d7ae6aeb25,GoogleTranslator|auto|zh-CN
ug @& as,和 @& 作为,f4d6769cc11a4f7daf06adc92e7bfdf2,GoogleTranslator|auto|zh-CN
愛さ れ ド,爱过,7f81850dc4114eb6f31852f749834984,GoogleTranslator|auto|zh-CN
ク さ れ ツ ヤン デレ RP ASMRC.…,RP ASMRC....,872a561f3a908aad63934c16c0989fa7,GoogleTranslator|auto|zh-CN
長 時 間 の 耐久 配信 疲れ 様 で し た ! ちゃ ん と 完走 し きっ た の 本 当 に すご すぎ ます .…! 6 時 間 も ず っ と 頑張 り 続 けた の で 今日 は た くさ ん 休ん で くだ さい ね 。,长时间的耐力直播，我累坏了！能完成比赛真是太了不起了……！你连续辛苦工作了6个小时，希望你今天好好休息。,7bcdbec60c9975eab11669f182ecb00f,GoogleTranslator|auto|zh-CN
Hasuki Ch. 蓮 希 る い @,莲宿 Ch.莲宿瑞@,15d2050aa080b1f66e1259e426884c52,GoogleTranslator|auto|zh-CN
今日 も 配信 し て くれ て あり が と う ご ざ いま し た 。,非常感谢您今天的广播。,29e71e140b52f4616f65e19866d594b9,GoogleTranslator|auto|zh-CN
Og @ 袖 マッ チョ マン © 7 个 月 前,Og @ Sleeve Macho Man © 7 个月前,6b3d60f0c6dbad77937ec19397b056e2,GoogleTranslator|auto|zh-CN
2 次 观看 ，13 分 钟 前,2 次 观看 ，13 分 钟 前,35b26278b93aa5483eafd9da10bd087c,GoogleTranslator|auto|zh-CN
最 新,最 新,d720676ff616b81926e5b74757c1be16,GoogleTranslator|auto|zh-CN
ら s @ @& as,ra s @ @& as,8f905aecab170e9f8d923348e381d6ed,GoogleTranslator|auto|zh-CN
Producciones Gran Torre,伟大的塔制作公司,2917b7d5895064799a3d4b389ffa2735,GoogleTranslator|auto|zh-CN
Nancy (Film Diagonal Planet,南希（电影《对角线星球》,be7d8a1654630fb1919426f0cb882c59,GoogleTranslator|auto|zh-CN
Haven p.1),避风港第1页）,73f0b7a5df1f0873a492b1dfe3e94254,GoogleTranslator|auto|zh-CN
@ @koji-c2k © 7 个 月 前,@ @koji-c2k © 7 个 月 前,4d7f75a82d6b82374b05f4d76006b573,GoogleTranslator|auto|zh-CN
【ASMR/ 長 時 間 】 両 耳 か ら お ね 3,[ASMR/长时间] 双耳对着头 3,87210bad67fb57cb2566ccf5ac0758d6,GoogleTranslator|auto|zh-CN
回复,回复,1edff073d48e05b9e79bb7516da23a6e,GoogleTranslator|auto|zh-CN
6 時 間 も 声 を 聞け て 幸せ で し た !,6个小时里我很高兴听到你的声音！,cfe2dbccadc6c834da7e3c9ffbf9310a,GoogleTranslator|auto|zh-CN
最初 か ら 最後 まで 見 守れ て 良かっ た で す !,我很高兴能够从头到尾守护你！,7069673f2e10b7443df03fecb6b96747,GoogleTranslator|auto|zh-CN
my OARUS . 直播 时 间 : 8 个 月 前,my OARUS . 直播 时 间 : 8 个 月 前,b8c2e5f66d181c026b900ba952b1db1c,GoogleTranslator|auto|zh-CN
えさ ん た ち に いじ わる され ち .…,食物被篡改了...,4bb91c603b31fb9347e71de17e8272e0,GoogleTranslator|auto|zh-CN
4 の し,4岁,91c99591b1535f69b8a6c38c24efb2f1,GoogleTranslator|auto|zh-CN
YuuRi Channel @,YuuRi频道@,2641a77d007d193007af68372963c7c9,GoogleTranslator|auto|zh-CN
rs) @ ハ パウ カ ー ル 8,rs) @ 下包冰壶 8,4cc787e8f0a6488b17789482a75c8d8b,GoogleTranslator|auto|zh-CN
[ESRDASMR] OSERE,[ESRDASM​​R] 演员,d3db7ea5891decc895db21a81a66da97,GoogleTranslator|auto|zh-CN
ンー,嗯嗯,fa41748cbe6f4da3e9de7515eb7c914e,GoogleTranslator|auto|zh-CN
BERIUSEWE..,贝留斯韦..,4dfdb5b84cd690c7ee4854bb1a234382,GoogleTranslator|auto|zh-CN
エニ,埃尼,8cbc675d73c9dd69e41995de52cc2365,GoogleTranslator|auto|zh-CN
"| 44 万 次 观看 , 直播 时 间 : 2 年 前","| 44 万 次 观看 , 直播 时 间 : 2 年 前",2f1d053029988c47ea900f15267b9b39,GoogleTranslator|auto|zh-CN
ASMR,ASMR,5f61baeb77f7a49f0b99989a1eec03bd,GoogleTranslator|auto|zh-CN
4 @ @& as,4 @ @& 作为,ce6cab51cf255e47a024e3049fc2ae54,GoogleTranslator|auto|zh-CN
O 被 大 姐姐 们 从 两 耳 坏 坏 地 捉 …,O 被 大 姐姐 们 从 两 耳 坏 坏 地 捉 …,d07c3e6e42b8f55b0da218fd3ff18ed8,GoogleTranslator|auto|zh-CN
【ASMR】 你 比较 喜欢 哪 一 个 3,【ASMR】 你 比较 喜欢 哪 一 个 3,39b43a3250e69f5a4a6563136a541c5a,GoogleTranslator|auto|zh-CN
61 ARIE + 直播 时 间 : 3 个 月 前,61 ARIE + 直播 时 间 : 3 个 月 前,1d8ce2c72118991141684541960a910e,GoogleTranslator|auto|zh-CN
ExMEREORMBODE...,埃米尔博德...,ef8c727f2f8ca90d1bf4bcc61184ae9d,GoogleTranslator|auto|zh-CN
5 時 間 25 分 の 耐久 配信 、 本 当 に お 疲れ 様 で し た ! ! !,非常感谢你们5小时25分钟的直播！,37e74d8c54c1ae2d3237e06389f4d3b9,GoogleTranslator|auto|zh-CN
桃 野 薔 薇 ASMR ch,桃野蔷薇 ASMR ch,591003720babac284425cd4043962e82,GoogleTranslator|auto|zh-CN
登 @NAYA & 7 个 月 前,登 @NAYA & 7 个 月 前,4ba3d411d2aec33e3b96153e57cebdce,GoogleTranslator|auto|zh-CN
了 解 详情,了 解 详情,ff4ead1f0a4909c190c3467a6e321294,GoogleTranslator|auto|zh-CN
YuuRi Channel @,YuuRi频道@,2641a77d007d193007af68372963c7c9,GoogleTranslator|auto|zh-CN
姉さん な ら 完走 で きる と 信じ て まし た ! それ で も や っ ぱり キツ か っ た で すね .…,我相信姐姐一定能跑完比赛！但还是很艰难...,5ec71d2ab5096642430c8f8c985576e0,GoogleTranslator|auto|zh-CN
4 時 間 あ た りか ら の 脳死 姉さん が 可愛 すぎ て 目 が 池 え わた っ て まし た 笑,4小时那个脑残妹妹可爱得我翻白眼，哈哈。,9f471a2571b02c0cbc5c4e320abcb240,GoogleTranslator|auto|zh-CN
ママ 責め ボイス が 長め だ っ た の は 姉さん の 気合 い を 感じ まし た が 、 数 時 間 後 に 自分 の 首 を 絞め る こと に な る と は 思っ て な か っ た ん だ ろう な っ て 考え る と また 笑っ て し まい .…,妈妈指责的声音很长，我能感觉到她的热情，但一想到几个小时后她会如何勒死我，我又忍不住笑了。 ……,bc67b771f315c8f37e8a636179ecaeb9,GoogleTranslator|auto|zh-CN
【ASMR】 お ね えさ ん に いじ わ,[ASMR] 婴儿食品,ed66d88c7c1983e3b1c0d41e9abf404f,GoogleTranslator|auto|zh-CN
o7 9,Ø7 9,36699e80d9544235e1cc5b64416acd3f,GoogleTranslator|auto|zh-CN
S3A RWS + 直播 时 间 : 7 个 月 前,S3A RWS + 直播 时 间 : 7 个 月 前,617c033f22b921011ffd4c5b6de1921f,GoogleTranslator|auto|zh-CN
YuuRi Channel @,YuuRi频道@,2641a77d007d193007af68372963c7c9,GoogleTranslator|auto|zh-CN
of,的,8bf8854bebe108183caeb845c7676ae4,GoogleTranslator|auto|zh-CN
る され ちゃ う の た まん な い ツ .…,很容易被抓到...,0551b80031e9768d3c44e1482b756878,GoogleTranslator|auto|zh-CN
@Galopin-snt 7 个 月 前,@Galopin-snt 7 个 月 前,f9a4cd060711565f1d7b28a7cb377dc7,GoogleTranslator|auto|zh-CN
お 疲れ 様 で し た !,谢谢你的辛勤工作！,01d5ac3fa11f958fe91086450d774f13,GoogleTranslator|auto|zh-CN
